protein1	protein2	locs1	locs2	sizes	category
Q86YR5	Q96MY7	Cell membrane,Cytoplasm,Endoplasmic reticulum,Golgi apparatus,Membrane	none	5|1	oneMulti
Q96A05	Q9UI12	none	Cytoplasmic vesicle,Membrane	1|2	oneMulti
P61204	Q9NU19	Cytoplasm,Golgi apparatus	none	2|1	oneMulti
A0A1W2PPL8	P21675	none	Nucleus	1|1	bothSingle
Q96PV0	Q9P267	none	Chromosome,Nucleus	1|2	oneMulti
P17947	Q8WU39	Nucleus	Cytoplasm,Endoplasmic reticulum,Secreted	1|3	oneMulti
P05000	P17181	Secreted	Cell membrane,Endosome,Lysosome,Membrane	1|4	oneMulti
O43169	Q6BCY4	Membrane,Mitochondrion,Mitochondrion outer membrane	none	3|1	oneMulti
P27348	P63027	Cytoplasm	Cell membrane,Cytoplasmic vesicle,Membrane,Synapse	1|4	oneMulti
Q13188	Q9H8W4	Cytoplasm,Cytoskeleton,Nucleus	Endoplasmic reticulum,Endosome,Membrane	3|3	bothMulti
P55196	Q9H0C2	Cell junction	Cell membrane,Cell projection,Cilium,Flagellum,Membrane,Mitochondrion,Mitochondrion inner membrane	1|7	oneMulti
P52566	P61587	Cytoplasm	Golgi apparatus,Membrane	1|2	oneMulti
Q8NDF8	Q9C0B9	Cytoplasm,Nucleus	none	2|1	oneMulti
P45985	P46734	Cytoplasm,Nucleus	none	2|1	oneMulti
P62837	Q9NV58	none	Cytoplasm,Cytoskeleton,Membrane	1|3	oneMulti
P00533	Q9Y305	Cell membrane,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane,Nucleus,Secreted	Mitochondrion	7|1	oneMulti
Q32MK0	Q96GE6	Cytoplasm	Cell projection	1|1	bothSingle
O94788	P05091	Cytoplasm	Mitochondrion	1|1	bothSingle
P45983	Q13233	Cytoplasm,Nucleus,Synapse	none	3|1	oneMulti
Q96LA8	Q9Y365	Nucleus	Cell projection,Cilium,Cytoplasm,Flagellum,Membrane	1|5	oneMulti
P22557	Q9UHF1	Membrane,Mitochondrion,Mitochondrion inner membrane	Secreted	3|1	oneMulti
A0A494C103	A6NIE9	none	Secreted	1|1	bothSingle
P08590	P13533	none	Cytoplasm,Thick filament	1|2	oneMulti
P24941	P33552	Cytoplasm,Cytoskeleton,Endosome,Nucleus	none	4|1	oneMulti
O75558	P40933	Golgi apparatus,Membrane	Cytoplasm,Nucleus,Secreted	2|3	bothMulti
O95994	P30085	Endoplasmic reticulum,Secreted	Cytoplasm,Nucleus	2|2	bothMulti
Q13206	Q14690	none	Nucleus	1|1	bothSingle
P60983	P61160	none	Cell projection,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
O14976	Q8NHM5	Cell junction,Cytoplasm,Cytoplasmic vesicle,Golgi apparatus	Chromosome,Nucleus	4|2	bothMulti
P56706	Q8J025	Extracellular matrix,Secreted	Cell membrane,Membrane	2|2	bothMulti
Q2M1V0	Q6EEV6	Nucleus	none	1|1	bothSingle
Q15172	Q9H246	Centromere,Chromosome,Cytoplasm,Nucleus	none	4|1	oneMulti
P62750	Q6PK04	Cytoplasm,Nucleus	Chromosome	2|1	oneMulti
Q92696	Q9ULW5	none	Cytoplasmic vesicle,Golgi apparatus,Membrane	1|3	oneMulti
P62140	Q86WC6	Cytoplasm,Nucleus	none	2|1	oneMulti
P62829	Q9UHA3	Cytoplasm	Nucleus	1|1	bothSingle
O95755	Q9BXI6	Golgi apparatus,Membrane	Cell projection	2|1	oneMulti
Q5JSS6	Q96M98	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
Q99942	Q9Y2X8	Cell membrane,Endoplasmic reticulum,Membrane,Mitochondrion	none	4|1	oneMulti
P29016	P61769	Cell membrane,Endosome,Lysosome,Membrane	Amyloid,MHC I,Secreted	4|3	bothMulti
Q13501	Q8TB22	Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Lysosome,Nucleus	Secreted	6|1	oneMulti
A0A0G2JNQ3	Q9UKM9	none	Nucleus,Spliceosome	1|2	oneMulti
O00459	Q8WYR1	none	Cell membrane,Cytoplasm,Membrane,Nucleus	1|4	oneMulti
P24534	P68104	none	Cell membrane,Cytoplasm,Membrane,Nucleus	1|4	oneMulti
Q02543	Q9GZR7	Cytoplasm	none	1|1	bothSingle
O43765	Q96EQ0	Cytoplasm,Nucleus	none	2|1	oneMulti
P42575	P78560	none	Cytoplasm,Nucleus	1|2	oneMulti
Q01518	Q562R1	Cell membrane,Membrane	Cytoplasm,Cytoskeleton	2|2	bothMulti
P46459	P54920	Cytoplasm	Cell membrane,Membrane	1|2	oneMulti
O43448	P57740	Cytoplasm	Centromere,Chromosome,Kinetochore,Membrane,Nuclear pore complex,Nucleus	1|6	oneMulti
Q14692	Q9BRS2	Nucleus	Cytoplasm	1|1	bothSingle
Q06203	Q9UKK9	none	Nucleus	1|1	bothSingle
O15033	P61077	none	Cell membrane,Endosome,Membrane	1|3	oneMulti
Q96T91	Q9Y6Q1	Secreted	Cytoplasm,Cytoskeleton,Microtubule	1|3	oneMulti
Q4J6C6	Q6IN84	Cytoplasm,Cytoskeleton,Golgi apparatus,Nucleus	Mitochondrion	4|1	oneMulti
Q05D32	Q8TDR2	none	Cytoplasm,Nucleus	1|2	oneMulti
O75940	P62834	Nucleus,Spliceosome	Cell junction,Cell membrane,Cytoplasm,Endosome,Membrane	2|5	bothMulti
P62258	Q04917	Cytoplasm,Nucleus	none	2|1	oneMulti
P50914	Q12894	Cytoplasm	none	1|1	bothSingle
P11234	Q12967	Cell membrane,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
O95171	Q8TAD7	Cytoplasm,Membrane	none	2|1	oneMulti
Q8J025	Q96HF1	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q86WW8	Q8N5G0	none	Membrane,Mitochondrion,Mitochondrion inner membrane,Secreted	1|4	oneMulti
P30679	Q08116	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P09669	Q9NRX3	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
O60884	P54652	Membrane	Cytoplasm,Cytoskeleton	1|2	oneMulti
A6NNY8	Q70EK9	Cytoplasm,Nucleus	Chromosome	2|1	oneMulti
P51888	Q9UBK2	Extracellular matrix,Secreted	Cytoplasm,Nucleus	2|2	bothMulti
P22531	Q5T752	Cytoplasm	none	1|1	bothSingle
P40939	P46821	Membrane,Mitochondrion,Mitochondrion inner membrane	Cell projection,Cytoplasm,Cytoskeleton,Microtubule,Synapse	3|5	bothMulti
O75473	P09038	Cell membrane,Golgi apparatus,Membrane	Nucleus,Secreted	3|2	bothMulti
O43665	O95837	Cytoplasm,Nucleus	none	2|1	oneMulti
Q5H9R7	Q8NB46	Cytoplasm,Nucleus	none	2|1	oneMulti
P37840	Q8N6F8	Amyloid,Cell projection,Cytoplasm,Membrane,Nucleus,Secreted,Synapse	none	7|1	oneMulti
O75874	P48735	Cytoplasm,Peroxisome	Mitochondrion	2|1	oneMulti
O43291	P07477	Cell membrane,Cytoplasm,Membrane	Secreted	3|1	oneMulti
P18124	Q96T21	Cytoplasm	Mitochondrion,Nucleus	1|2	oneMulti
Q5T6F0	Q96JK2	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
Q08209	Q14206	Cell membrane,Cell projection,Cytoplasm,Membrane,Synapse	none	5|1	oneMulti
O14498	P54764	Secreted	Cell junction,Cell membrane,Cell projection,Endosome,Membrane,Postsynaptic cell membrane,Synapse	1|7	oneMulti
O15481	Q8WV22	Cytoplasm	Chromosome,Nucleus,Telomere	1|3	oneMulti
P14649	Q13459	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
Q4VC05	Q92784	none	Nucleus	1|1	bothSingle
P53611	Q7L014	none	Nucleus,Spliceosome	1|2	oneMulti
Q7Z5G4	Q96H35	Golgi apparatus,Membrane	none	2|1	oneMulti
A8MV65	Q5T4B2	Nucleus	Endoplasmic reticulum	1|1	bothSingle
P25440	Q9HCS2	Chromosome,Nucleus	Endoplasmic reticulum,Membrane,Microsome	2|3	bothMulti
P15498	P22681	none	Cell membrane,Cell projection,Cytoplasm,Golgi apparatus,Membrane	1|5	oneMulti
Q9P206	Q9UNA1	none	Cell junction,Cytoplasm,Cytoskeleton,Endosome,Membrane	1|5	oneMulti
Q86TG7	Q9BWD3	Cytoplasm,Membrane,Nucleus	none	3|1	oneMulti
Q68D91	Q9Y2H8	Cell membrane,Endoplasmic reticulum,Membrane	Nucleus	3|1	oneMulti
Q13347	Q14240	Cytoplasm	none	1|1	bothSingle
Q8TD86	Q9H2S1	Cytoplasm,Nucleus	Membrane	2|1	oneMulti
P42285	Q7Z739	Nucleus,Spliceosome	Cytoplasm	2|1	oneMulti
P32248	Q99731	Cell membrane,Membrane	Secreted	2|1	oneMulti
P49023	Q14161	Cell junction,Cytoplasm,Cytoskeleton	none	3|1	oneMulti
Q969H0	Q9ULT8	Chromosome,Cytoplasm,Nucleus	none	3|1	oneMulti
P05141	P55196	Membrane,Mitochondrion,Mitochondrion inner membrane	Cell junction	3|1	oneMulti
Q92686	Q96GE6	none	Cell projection	1|1	bothSingle
Q6DKK2	Q70EL1	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
Q92901	Q9NY93	none	Nucleus	1|1	bothSingle
Q02543	Q9BVP2	Cytoplasm	Nucleus	1|1	bothSingle
P40616	P62258	Golgi apparatus,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
Q9GZP9	Q9NWU5	Endoplasmic reticulum,Membrane	Mitochondrion	2|1	oneMulti
O43567	Q9Y2X8	Endoplasmic reticulum,Endosome,Lysosome,Membrane,Nucleus	none	5|1	oneMulti
Q13557	Q9UQM7	Cell membrane,Membrane,Sarcoplasmic reticulum	Cell projection,Synapse	3|2	bothMulti
O95490	Q9UBM4	Membrane	Extracellular matrix,Secreted	1|2	oneMulti
P13500	P51681	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q5T653	Q8NBR0	Mitochondrion	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q6ZSY5	Q8N309	Membrane	none	1|1	bothSingle
Q05923	Q99640	Nucleus	Endoplasmic reticulum,Golgi apparatus,Membrane	1|3	oneMulti
P49459	Q96FW1	none	Cytoplasm	1|1	bothSingle
P50402	Q16661	Membrane,Microtubule,Nucleus	Secreted	3|1	oneMulti
Q7M4L6	Q9H4F1	none	Golgi apparatus,Membrane	1|2	oneMulti
P40222	Q9NUQ3	none	Cytoplasm,Membrane,Nucleus	1|3	oneMulti
P08069	Q9Y6W6	Cell membrane,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
Q9BTV6	Q9UBU9	none	Cytoplasm,Nuclear pore complex,Nucleus	1|3	oneMulti
P43366	Q8N140	none	Chromosome,Cytoplasm,Nucleus,Telomere	1|4	oneMulti
P40939	Q9UPN9	Membrane,Mitochondrion,Mitochondrion inner membrane	Nucleus	3|1	oneMulti
O95139	Q19AV6	Membrane,Mitochondrion,Mitochondrion inner membrane	Nucleus	3|1	oneMulti
Q6MZQ0	Q9UI95	none	Chromosome,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
Q53G59	Q6TFL4	Cytoplasmic vesicle	Cell junction,Cell projection,Cytoplasm	1|3	oneMulti
Q5VT52	Q96P16	none	Nucleus	1|1	bothSingle
Q8NEF9	Q9NYH9	Cytoplasm	Nucleus	1|1	bothSingle
P62879	Q13371	Cell membrane,Cytoplasm,Membrane	Cell projection	3|1	oneMulti
P49366	P63241	none	Cytoplasm,Endoplasmic reticulum,Membrane,Nucleus	1|4	oneMulti
O75937	Q8IX12	Nucleus	Cytoplasm	1|1	bothSingle
P18077	Q9NV31	Cytoplasm	Nucleus	1|1	bothSingle
P62837	Q99942	none	Cell membrane,Endoplasmic reticulum,Membrane,Mitochondrion	1|4	oneMulti
Q86UW9	Q9NYS7	Cytoplasm,Nucleus	none	2|1	oneMulti
Q07889	Q8WV28	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P86790	Q86VX9	Lysosome,Membrane	none	2|1	oneMulti
P07910	P27348	Nucleus,Spliceosome	Cytoplasm	2|1	oneMulti
Q13257	Q9P2N7	Centromere,Chromosome,Cytoplasm,Cytoskeleton,Kinetochore,Nucleus	none	6|1	oneMulti
P40337	Q9Y6I7	Cell membrane,Cytoplasm,Endoplasmic reticulum,Membrane,Nucleus	none	5|1	oneMulti
Q13526	Q14558	Cytoplasm,Nucleus	none	2|1	oneMulti
P35443	P49746	Endoplasmic reticulum,Extracellular matrix,Sarcoplasmic reticulum,Secreted	none	4|1	oneMulti
Q6UW15	Q9ULY5	Cytoplasm,Secreted	Cell membrane,Cell projection,Membrane	2|3	bothMulti
Q6DKK2	Q9NRA8	Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm,Nucleus	3|2	bothMulti
P51668	Q9P0P0	Cytoplasm	none	1|1	bothSingle
Q9UBV2	Q9Y2U5	Endoplasmic reticulum,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
Q8NEF9	Q8TF66	Cytoplasm	Cell membrane,Membrane	1|2	oneMulti
Q96EH3	Q9Y3B4	Mitochondrion	Nucleus,Spliceosome	1|2	oneMulti
Q15369	Q8WXH6	Nucleus	Cell membrane,Membrane	1|2	oneMulti
P42575	Q14790	none	Cell projection,Cytoplasm,Nucleus	1|3	oneMulti
P23434	Q53HV7	Mitochondrion	Nucleus	1|1	bothSingle
Q16623	Q96NK8	Cell membrane,Cytoplasmic vesicle,Membrane,Secreted,Synapse,Synaptosome	Nucleus	6|1	oneMulti
P62888	Q71UM5	Cytoplasm	none	1|1	bothSingle
O14543	Q15369	none	Nucleus	1|1	bothSingle
Q96LR5	Q9Y508	none	Cytoplasm,Nucleus	1|2	oneMulti
Q66PJ3	Q9BU76	Nucleus	none	1|1	bothSingle
O15335	Q9NS85	Extracellular matrix,Secreted	none	2|1	oneMulti
A0AUZ9	Q9P2N6	none	Nucleus	1|1	bothSingle
Q5QP82	Q5T2D3	none	Cytoplasm,Nucleus	1|2	oneMulti
Q96FW1	Q9Y2X8	Cytoplasm	none	1|1	bothSingle
Q96EF0	Q96QG7	Nucleus	Cell membrane,Cell projection,Cytoplasm,Endoplasmic reticulum,Membrane	1|5	oneMulti
Q96HN2	Q99797	Cytoplasm,Endoplasmic reticulum,Microsome	Mitochondrion	3|1	oneMulti
O60291	P60604	Cell membrane,Cytoplasm,Endosome,Membrane,Nucleus	Endoplasmic reticulum,Lipid droplet	5|2	bothMulti
P46109	Q07912	none	Cell junction,Cell membrane,Coated pit,Cytoplasm,Cytoplasmic vesicle,Endosome,Membrane,Nucleus	1|8	oneMulti
A8MXT2	Q8N140	none	Chromosome,Cytoplasm,Nucleus,Telomere	1|4	oneMulti
P06681	P09871	Secreted	none	1|1	bothSingle
O43281	O43294	none	Cell junction,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
P04150	P30519	Cytoplasm,Cytoskeleton,Mitochondrion,Nucleus	Endoplasmic reticulum,Membrane,Microsome	4|3	bothMulti
Q8NB25	Q9NZQ0	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
P48509	Q13753	Membrane	Basement membrane,Extracellular matrix,Secreted	1|3	oneMulti
Q8WVL7	Q8WXR4	Nucleus	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P0DP25	P48454	Cytoplasm,Cytoskeleton	Mitochondrion	2|1	oneMulti
A2RRP1	Q8WU76	Cytoplasm,Endoplasmic reticulum,Membrane	none	3|1	oneMulti
O75208	P09601	Mitochondrion	Endoplasmic reticulum,Membrane	1|2	oneMulti
Q86V87	Q9UJC3	none	Cytoplasm,Cytoskeleton,Microtubule	1|3	oneMulti
P40939	Q8IXJ9	Membrane,Mitochondrion,Mitochondrion inner membrane	Nucleus	3|1	oneMulti
Q3LI66	Q8IVS8	Keratin	Cytoplasm,Mitochondrion	1|2	oneMulti
Q9GZZ9	Q9Y3C8	Cytoplasm,Endoplasmic reticulum,Golgi apparatus,Membrane,Nucleus	none	5|1	oneMulti
Q969K3	Q9UIC8	Cell membrane,Cytoplasm,Membrane,Nucleus	none	4|1	oneMulti
P02452	P05556	Extracellular matrix,Secreted	Cell junction,Cell membrane,Cell projection,Endosome,Membrane	2|5	bothMulti
O00408	P22234	Cell membrane,Cytoplasm,Membrane,Mitochondrion,Mitochondrion inner membrane,Mitochondrion outer membrane	none	6|1	oneMulti
P55036	Q12986	Proteasome	Nucleus	1|1	bothSingle
Q14562	Q2TBE0	Nucleus,Spliceosome	none	2|1	oneMulti
Q8N3X1	Q9BVC5	none	Nucleus	1|1	bothSingle
Q04637	Q14240	Cytoplasm,Nucleus	none	2|1	oneMulti
P06732	P12532	Cytoplasm	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
Q9NY30	Q9UFF9	none	Cytoplasm,Nucleus	1|2	oneMulti
O94826	Q9UPN9	Membrane,Mitochondrion,Mitochondrion outer membrane	Nucleus	3|1	oneMulti
B2RXH8	O95835	Nucleus	Cytoplasm,Cytoskeleton	1|2	oneMulti
P62837	Q96J02	none	Cell membrane,Cytoplasm,Endosome,Membrane,Nucleus	1|5	oneMulti
Q9C086	Q9HCS2	Nucleus	Endoplasmic reticulum,Membrane,Microsome	1|3	oneMulti
P61077	Q9P0P0	Cell membrane,Endosome,Membrane	none	3|1	oneMulti
P55769	Q71UM5	Nucleus,Spliceosome	none	2|1	oneMulti
Q9HD33	Q9NQX6	Mitochondrion	Nucleus	1|1	bothSingle
Q13501	Q96CB9	Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Lysosome,Nucleus	Mitochondrion	6|1	oneMulti
P42766	Q8NHQ9	Cytoplasm	none	1|1	bothSingle
P42285	Q9BU89	Nucleus,Spliceosome	none	2|1	oneMulti
O75970	Q7Z3E1	Cell junction,Cell membrane,Cell projection,Membrane,Synapse,Synaptosome,Tight junction	Nucleus	7|1	oneMulti
Q05DH4	Q9UJC3	none	Cytoplasm,Cytoskeleton,Microtubule	1|3	oneMulti
P08246	Q5DT21	Cytoplasmic vesicle	Secreted	1|1	bothSingle
P20674	P62857	Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm,Endoplasmic reticulum,Nucleus	3|3	bothMulti
P50750	P63208	Cytoplasm,Nucleus	none	2|1	oneMulti
O15550	P05387	Nucleus	none	1|1	bothSingle
O00421	P12544	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q8NB46	Q9UPN7	none	Cytoplasm	1|1	bothSingle
P18847	P45452	Nucleus	Extracellular matrix,Secreted	1|2	oneMulti
P61077	Q9H992	Cell membrane,Endosome,Membrane	Cytoplasm	3|1	oneMulti
P13164	P35225	Cell membrane,Lysosome,Membrane	Secreted	3|1	oneMulti
Q567U6	Q9GZQ3	Endosome	Cytoplasm,Nucleus	1|2	oneMulti
P61225	Q9NZM3	Endosome,Membrane	Cytoplasm	2|1	oneMulti
Q9H469	Q9NXK8	Cytoplasm	none	1|1	bothSingle
P61981	Q9UPT9	Cytoplasm	Nucleus	1|1	bothSingle
Q8WWB5	Q96HA8	none	Cytoplasm,Nucleus	1|2	oneMulti
Q96BQ1	Q9Y2A9	Secreted	Golgi apparatus,Membrane	1|2	oneMulti
P54252	Q8NG27	Lysosome,Membrane,Nucleus	none	3|1	oneMulti
Q99470	Q9UBS4	Secreted	Endoplasmic reticulum	1|1	bothSingle
O14965	P24522	Cell membrane,Cell projection,Cilium,Cytoplasm,Cytoskeleton,Membrane,Microtubule	Nucleus	7|1	oneMulti
P14866	Q9C0H2	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
Q7L5Y6	Q96RU8	Nucleus	none	1|1	bothSingle
A0A0J9YX57	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
P05155	Q92637	Secreted	Cell membrane,Membrane	1|2	oneMulti
P54368	Q9HD15	none	Cytoplasm,Nucleus	1|2	oneMulti
P43361	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
Q16825	Q8TCX5	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
P51668	Q9H0F5	Cytoplasm	Nucleus	1|1	bothSingle
O75884	P06400	none	Nucleus	1|1	bothSingle
A1YPR0	O95365	none	Nucleus	1|1	bothSingle
Q6UY01	Q8WWN8	none	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane	1|5	oneMulti
Q0VF96	Q9H0H5	Cell junction,Tight junction	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane,Microtubule,Nucleus	2|7	bothMulti
P19087	Q08116	Cell projection	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
O95831	Q9NX40	Cytoplasm,Membrane,Mitochondrion,Mitochondrion inner membrane,Nucleus	Endosome	5|1	oneMulti
Q86UD3	Q9Y2X8	Cytoplasmic vesicle,Endosome,Membrane	none	3|1	oneMulti
A8MXD5	Q9NZA1	Cell projection,Cilium	Cell membrane,Cytoplasm,Cytoskeleton,Golgi apparatus,Membrane,Mitochondrion	2|6	bothMulti
Q9BVV7	Q9NRN7	Membrane,Mitochondrion	Cytoplasm	2|1	oneMulti
Q9GZT5	Q9H461	Extracellular matrix,Secreted	Cell membrane,Golgi apparatus,Membrane	2|3	bothMulti
P04899	P49798	Cell membrane,Cytoplasm,Cytoskeleton,Membrane	none	4|1	oneMulti
O95257	P47928	none	Nucleus	1|1	bothSingle
Q8N9B5	Q9HBF4	Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane,Nucleus	Endoplasmic reticulum,Golgi apparatus,Lipid droplet,Mitochondrion	5|4	bothMulti
P06733	Q7Z422	Cell membrane,Cytoplasm,Membrane,Nucleus	none	4|1	oneMulti
O00506	Q9H9S4	Cytoplasm,Golgi apparatus	none	2|1	oneMulti
P62269	P78316	Cytoplasm	Nucleus	1|1	bothSingle
O14508	P40337	none	Cell membrane,Cytoplasm,Endoplasmic reticulum,Membrane,Nucleus	1|5	oneMulti
O15211	P11233	none	Cell membrane,Membrane,Mitochondrion	1|3	oneMulti
O43583	O60762	none	Endoplasmic reticulum	1|1	bothSingle
Q86XE0	Q9UMY4	none	Membrane	1|1	bothSingle
Q8NCA5	Q9Y224	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
Q07973	Q9C086	Mitochondrion	Nucleus	1|1	bothSingle
Q6DKI1	Q9NZM5	none	Nucleus	1|1	bothSingle
P11277	Q8N6V4	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
P58557	Q8IYQ7	Nucleus	none	1|1	bothSingle
A0PJX2	P21281	none	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane,Synapse	1|5	oneMulti
Q86XP3	Q9P272	Cytoplasm,Nucleus	none	2|1	oneMulti
O60566	Q53RE8	Centromere,Chromosome,Cytoplasm,Cytoskeleton,Kinetochore,Nucleus	none	6|1	oneMulti
A0A1W2PPH5	Q8IZX4	none	Nucleus	1|1	bothSingle
O76003	Q9Y3E2	Cytoplasm	Mitochondrion	1|1	bothSingle
Q6UXY1	Q9HC52	Cell junction,Cell membrane,Cytoplasmic vesicle,Membrane	Nucleus	4|1	oneMulti
Q9Y4K3	Q9Y6Q6	Cytoplasm,Lipid droplet,Nucleus	Cell membrane,Membrane	3|2	bothMulti
P15735	Q8TD86	none	Cytoplasm,Nucleus	1|2	oneMulti
A6NDL7	Q8NB15	none	Nucleus	1|1	bothSingle
P43365	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
P42680	P42696	Cell membrane,Cytoplasm,Cytoskeleton,Membrane	Nucleus	4|1	oneMulti
P61077	Q9H0F5	Cell membrane,Endosome,Membrane	Nucleus	3|1	oneMulti
O43678	Q86YC2	Membrane,Mitochondrion,Mitochondrion inner membrane	Nucleus	3|1	oneMulti
P22681	P62837	Cell membrane,Cell projection,Cytoplasm,Golgi apparatus,Membrane	none	5|1	oneMulti
P49321	Q8NC06	Cytoplasm,Nucleus	none	2|1	oneMulti
Q969H4	Q9BYL1	Cytoplasm,Membrane	none	2|1	oneMulti
P17980	Q9Y312	Cytoplasm,Nucleus,Proteasome	Spliceosome	3|1	oneMulti
Q92696	Q9BRG1	none	Cytoplasm,Endosome,Membrane,Nucleus	1|4	oneMulti
Q6PJI9	Q9Y2K7	Lysosome,Membrane	Chromosome,Nucleus	2|2	bothMulti
P35475	Q9H112	Lysosome	Secreted	1|1	bothSingle
A0AUZ9	A8MW92	none	Nucleus	1|1	bothSingle
O75170	Q8NB46	Cytoplasm	none	1|1	bothSingle
O94933	P62760	Membrane	none	1|1	bothSingle
O75628	Q13546	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P86790	Q7L1V2	Lysosome,Membrane	none	2|1	oneMulti
P13725	Q99650	Secreted	Membrane	1|1	bothSingle
Q7Z478	Q9HCS7	Cytoplasm	Nucleus,Spliceosome	1|2	oneMulti
Q6DKI1	Q9Y3C1	none	Nucleus	1|1	bothSingle
Q8WVZ9	Q9P2G9	Cytoplasm,Nucleus	none	2|1	oneMulti
O15265	Q70EK9	Cytoplasm,Cytoskeleton,Nucleus	Chromosome	3|1	oneMulti
A6NK59	Q8TER5	none	Cytoplasm	1|1	bothSingle
O95801	Q9BTY7	Cytoplasm,Nucleus	none	2|1	oneMulti
Q5EG05	Q9ULZ3	none	Cytoplasm,Endoplasmic reticulum,Golgi apparatus,Inflammasome,Membrane,Mitochondrion,Nucleus	1|7	oneMulti
P06702	Q9NQ31	Cell membrane,Cytoplasm,Cytoskeleton,Membrane,Secreted	Nucleus	5|1	oneMulti
P28715	Q8IX18	Chromosome,Nucleus	none	2|1	oneMulti
P0DJD0	Q99567	none	Nuclear pore complex,Nucleus	1|2	oneMulti
P55769	P62888	Nucleus,Spliceosome	Cytoplasm	2|1	oneMulti
A0A1W2PPH5	P38432	none	Nucleus	1|1	bothSingle
O00206	P01178	Cell membrane,Cell projection,Endosome,Membrane	Secreted	4|1	oneMulti
Q3MII6	Q9P244	Cytoplasm,Cytoplasmic vesicle	Cell membrane,Membrane,Postsynaptic cell membrane,Synapse	2|4	bothMulti
O60476	Q9BTT0	Golgi apparatus,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
O14817	P32242	Membrane	Nucleus	1|1	bothSingle
Q96JS3	Q9NWS9	none	Nucleus	1|1	bothSingle
O14950	Q9NS69	none	Membrane,Mitochondrion,Mitochondrion outer membrane	1|3	oneMulti
P10147	P42081	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q86T65	Q9Y4D1	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P83881	Q9NV31	Cytoplasm	Nucleus	1|1	bothSingle
P41594	Q8WXR4	Cell membrane,Membrane	Cell projection,Cytoplasm,Cytoskeleton	2|3	bothMulti
Q6ZS72	Q86YV5	none	Cell junction,Cytoplasm,Nucleus	1|3	oneMulti
P13861	P22612	Cell membrane,Cytoplasm,Membrane	none	3|1	oneMulti
Q9BSK4	Q9H875	Cytoplasm,Mitochondrion	Nucleus,Spliceosome	2|2	bothMulti
Q53G59	Q9P2N7	Cytoplasmic vesicle	none	1|1	bothSingle
A0A1W2PPE2	Q12962	none	Nucleus	1|1	bothSingle
O00746	P22392	Membrane,Mitochondrion	Cell projection,Cytoplasm,Nucleus	2|3	bothMulti
Q92696	Q9H0T7	none	Cell projection,Endosome,Membrane	1|3	oneMulti
P19022	Q15746	Cell junction,Cell membrane,Membrane	Cell projection,Cytoplasm,Cytoskeleton	3|3	bothMulti
P04271	Q8WXG8	Cytoplasm,Nucleus,Secreted	none	3|1	oneMulti
P24844	Q9UEE5	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
