protein1	protein2	locs1	locs2	sizes	category
P26885	Q6NTE8	Endoplasmic reticulum,Membrane	Nucleus	2|1	oneMulti
Q9BUY7	Q9UQM7	none	Cell projection,Synapse	1|2	oneMulti
Q9H6Q3	Q9ULV8	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane	none	4|1	oneMulti
Q16799	Q9UGP5	Endoplasmic reticulum,Golgi apparatus,Membrane	Chromosome,Nucleus	3|2	bothMulti
P58546	Q86SX6	Cytoplasm,Nucleus	Mitochondrion	2|1	oneMulti
O00584	P54107	Endoplasmic reticulum,Lysosome,Mitochondrion,Secreted	none	4|1	oneMulti
Q8N8L6	Q9NS84	none	Golgi apparatus,Membrane	1|2	oneMulti
A0A1B0GUL7	Q9Y2U5	none	Cytoplasm,Nucleus	1|2	oneMulti
O95881	Q14061	Endoplasmic reticulum	Cytoplasm,Mitochondrion	1|2	oneMulti
O15235	Q6NTE8	Mitochondrion	Nucleus	1|1	bothSingle
Q8NB46	Q9UGI0	none	Cytoplasm,Nucleus	1|2	oneMulti
A0A2R8Y422	P47914	none	Cytoplasm	1|1	bothSingle
A8MQ03	Q8TE68	none	Cytoplasm	1|1	bothSingle
Q969U6	Q96JK2	Cytoplasm	none	1|1	bothSingle
O00308	P62837	Nucleus	none	1|1	bothSingle
Q13432	Q6ZTQ3	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
P63027	Q04917	Cell membrane,Cytoplasmic vesicle,Membrane,Synapse	none	4|1	oneMulti
P58340	Q8NHS0	Cell projection,Cytoplasm,Cytoskeleton,Nucleus	none	4|1	oneMulti
P05976	Q6PIF6	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P00533	Q9NQX4	Cell membrane,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane,Nucleus,Secreted	none	7|1	oneMulti
P62753	Q8TD47	Cytoplasm,Nucleus	none	2|1	oneMulti
P78414	Q92626	Nucleus	Basement membrane,Endoplasmic reticulum,Extracellular matrix,Secreted	1|4	oneMulti
Q14117	Q16555	none	Cytoplasm,Cytoskeleton,Membrane	1|3	oneMulti
P15090	Q9NZT1	Cytoplasm,Nucleus	none	2|1	oneMulti
Q8N6P7	Q9GZX6	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q06587	Q9Y2X8	Nucleus	none	1|1	bothSingle
Q5T8P6	Q86U42	none	Cytoplasm,Nucleus	1|2	oneMulti
Q1AE95	Q96NT3	Membrane	none	1|1	bothSingle
P30679	P57771	none	Cell membrane,Cell projection,Membrane,Nucleus	1|4	oneMulti
P15172	Q16559	Nucleus	none	1|1	bothSingle
P05413	Q9UKU7	Cytoplasm	Mitochondrion	1|1	bothSingle
O60260	P62837	Cell projection,Cytoplasm,Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane,Nucleus,Synapse	none	8|1	oneMulti
Q96BZ9	Q9H0N0	Membrane	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
O00755	O95980	Extracellular matrix,Secreted	Cell membrane,Membrane	2|2	bothMulti
P07947	Q8WWW8	Cell membrane,Cytoplasm,Cytoskeleton,Membrane	none	4|1	oneMulti
Q6PL18	Q8TE99	Nucleus	Golgi apparatus,Membrane	1|2	oneMulti
Q149N8	Q9UNS1	none	Chromosome,Nucleus	1|2	oneMulti
P51159	Q9Y4I1	Endosome,Lysosome,Membrane	none	3|1	oneMulti
P40123	P63267	Cell membrane,Membrane	Cytoplasm,Cytoskeleton	2|2	bothMulti
